congress,chamber,state,district,party,name,ideology
100,House,AL,2,Republican,"DICKINSON, William Louis",0.398
100,House,AL,4,Democrat,"BEVILL, Tom",-0.213
100,House,AL,3,Democrat,"NICHOLS, William Flynt",-0.042
100,House,AL,5,Democrat,"FLIPPO, Ronnie Gene",-0.175
100,House,AL,6,Democrat,"ERDREICH, Ben",-0.06
100,House,AL,1,Republican,"CALLAHAN, Herbert Leon (Sonny)",0.373
100,House,AL,7,Democrat,"HARRIS, Claude, Jr.",-0.085
100,House,AK,1,Republican,"YOUNG, Donald Edwin",0.279
100,House,AZ,2,Democrat,"UDALL, Morris King",-0.387
100,House,AZ,3,Republican,"STUMP, Robert Lee",0.703
100,House,AZ,5,Republican,"KOLBE, James Thomas",0.351
100,House,AZ,4,Republican,"KYL, Jon Llewellyn",0.548
100,House,AZ,1,Republican,"RHODES, John Jacob, III",0.407
100,House,AR,3,Republican,"HAMMERSCHMIDT, John Paul",0.253
100,House,AR,1,Democrat,"ALEXANDER, William Vollie (Bill), Jr.",-0.41
100,House,AR,4,Democrat,"ANTHONY, Beryl Franklin, Jr.",-0.254
100,House,AR,2,Democrat,"ROBINSON, Tommy Franklin",-0.013
100,House,CA,36,Democrat,"BROWN, George Edward, Jr.",-0.506
100,House,CA,10,Democrat,"EDWARDS, William Donlon (Don)",-0.599
100,House,CA,29,Democrat,"HAWKINS, Augustus Freeman (Gus)",-0.517
100,House,CA,25,Democrat,"ROYBAL, Edward R.",-0.61
100,House,CA,32,Democrat,"ANDERSON, Glenn Malcolm",-0.269
100,House,CA,8,Democrat,"DELLUMS, Ronald V.",-0.644
100,House,CA,22,Republican,"MOORHEAD, Carlos John",0.465
100,House,CA,9,Democrat,"STARK, Fortney Hillman (Pete), Jr.",-0.631
100,House,CA,19,Republican,"LAGOMARSINO, Robert John",0.378
100,House,CA,7,Democrat,"MILLER, George",-0.552
100,House,CA,13,Democrat,"MINETA, Norman Y.",-0.479
100,House,CA,24,Democrat,"WAXMAN, Henry Arnold",-0.473
100,House,CA,40,Republican,"BADHAM, Robert Edward",0.541
100,House,CA,23,Democrat,"BEILENSON, Anthony Charles",-0.44
100,House,CA,38,Republican,"DORNAN, Robert Kenneth",0.49
100,House,CA,16,Democrat,"PANETTA, Leon Edward",-0.258
100,House,CA,15,Democrat,"COELHO, Tony",-0.413
100,House,CA,39,Republican,"DANNEMEYER, William Edwin",0.691
100,House,CA,28,Democrat,"DIXON, Julian Carey",-0.458
100,House,CA,4,Democrat,"FAZIO, Victor Herbert, Jr.",-0.455
100,House,CA,35,Republican,"LEWIS, Charles Jeremy (Jerry)",0.348
100,House,CA,42,Republican,"LUNGREN, Daniel Edward",0.497
100,House,CA,3,Democrat,"MATSUI, Robert T.",-0.404
100,House,CA,17,Republican,"PASHAYAN, Charles, Jr.",0.282
100,House,CA,14,Republican,"SHUMWAY, Norman David",0.556
100,House,CA,20,Republican,"THOMAS, William Marshall",0.371
100,House,CA,33,Republican,"DREIER, David Timothy",0.478
100,House,CA,31,Democrat,"DYMALLY, Mervyn Malcolm",-0.685
100,House,CA,45,Republican,"HUNTER, Duncan Lee",0.47
100,House,CA,11,Democrat,"LANTOS, Thomas Peter",-0.376
100,House,CA,41,Republican,"LOWERY, William David",0.33
100,House,CA,30,Democrat,"MARTÍNEZ, Matthew G.",-0.341
100,House,CA,44,Democrat,"BATES, Jim",-0.279
100,House,CA,26,Democrat,"BERMAN, Howard Lawrence",-0.404
100,House,CA,1,Democrat,"BOSCO, Douglas Harry",-0.271
100,House,CA,6,Democrat,"BOXER, Barbara",-0.45
100,House,CA,18,Democrat,"LEHMAN, Richard Henry",-0.27
100,House,CA,27,Democrat,"LEVINE, Meldon Edises",-0.436
100,House,CA,37,Republican,"McCANDLESS, Alfred A.",0.474
100,House,CA,43,Republican,"PACKARD, Ronald C.",0.419
100,House,CA,34,Democrat,"TORRES, Esteban Edward",-0.487
100,House,CA,5,Democrat,"BURTON, Sala Galante",-0.585
100,House,CA,21,Republican,"GALLEGLY, Elton W.",0.402
100,House,CA,2,Republican,"HERGER, Walter William (Wally)",0.551
100,House,CA,12,Republican,"KONNYU, Ernest Leslie",0.372
100,House,CA,5,Democrat,"PELOSI, Nancy",-0.49
100,House,CO,1,Democrat,"SCHROEDER, Patricia Scott",-0.225
100,House,CO,4,Republican,"BROWN, George Hanks (Hank)",0.511
100,House,CO,6,Republican,"SCHAEFER, Daniel",0.479
100,House,CO,3,Democrat,"CAMPBELL, Ben Nighthorse",-0.141
100,House,CO,5,Republican,"HEFLEY, Joel M.",0.591
100,House,CO,2,Democrat,"SKAGGS, David Evans",-0.355
100,House,CT,4,Republican,"McKINNEY, Stewart Brett",-0.006
100,House,CT,2,Democrat,"GEJDENSON, Samuel",-0.416
100,House,CT,1,Democrat,"KENNELLY, Barbara Bailey",-0.346
100,House,CT,6,Republican,"JOHNSON, Nancy Lee",0.122
100,House,CT,3,Democrat,"MORRISON, Bruce Andrew",-0.396
100,House,CT,5,Republican,"ROWLAND, John",0.169
100,House,CT,4,Republican,"SHAYS, Christopher H.",0.129
100,House,DE,1,Democrat,"CARPER, Thomas Richard",-0.174
100,House,FL,3,Democrat,"BENNETT, Charles Edward",-0.088
100,House,FL,19,Democrat,"FASCELL, Dante Bruno",-0.4
100,House,FL,18,Democrat,"PEPPER, Claude Denson",-0.422
100,House,FL,7,Democrat,"GIBBONS, Sam Melville",-0.233
100,House,FL,4,Democrat,"CHAPPELL, William Venroe, Jr.",-0.098
100,House,FL,8,Republican,"YOUNG, Charles William (Bill)",0.325
100,House,FL,17,Democrat,"LEHMAN, William",-0.483
100,House,FL,10,Republican,"IRELAND, Andrew Poysell (Andy)",0.42
100,House,FL,1,Democrat,"HUTTO, Earl Dewitt",-0.007
100,House,FL,14,Democrat,"MICA, Daniel Andrew",-0.184
